data-page-selector,full_address,County,Property Type,Subtype,Tenancy,Total Building SqFt,Total Building Suites,has_parking,Vacant SqFt
https://www.crexi.com/lease/properties/712144/california-550-south-hill-street,"550 S Hill St, Los Angeles, CA 90013",Los Angeles County,"Retail, Office, Restaurant","Executive Office, Commercial",Multiple,"13,000",,TRUE,"13,000"
https://www.crexi.com/lease/properties/890822/california-the-mansion-retail,"1517 H St, Sacramento, CA 95814",,"Retail, Office, Restaurant","Creative Office, Medical Office",Multiple,"119,055",2,FALSE,"2,800"
https://www.crexi.com/lease/properties/865622/california-2009-high-street,"2009 High St, Alameda, CA 94501",,"Retail, Office, Restaurant","Creative Office, retail, Office",Multiple,"8,797",7,TRUE,"4,500"
https://www.crexi.com/lease/properties/143936/california-sec-herndon-ave-fresno-st,"SEC Herndon Ave. & Fresno St, Fresno, CA 93720",Fresno County,"Retail, Office, Restaurant","Medical Office, Restaurant, Fast Food, Professional Office",Multiple,"347,715",,FALSE,"250,209"
https://www.crexi.com/lease/properties/689665/california-retail-space-west-of-down-town-los-angeles,"1403 W 3rd St, Los Angeles, CA 90017",,"Retail, Office, Restaurant","Medical Office, Creative Office, Traditional Office, office, bar, sports bar, night club, liquor's store, resturant, cigar, tobacco, cigar shop",Single,0,,FALSE,"3,000"
https://www.crexi.com/lease/properties/404156/california-nwc-of-foothill-blvd-and-n-chorro-st,"790 Foothill Blvd, San Luis Obispo, CA 93405",San Luis Obispo County,"Retail, Office, Restaurant","Traditional Office, Ice Cream Shop",Multiple,"6,785",,TRUE,"6,761"
https://www.crexi.com/lease/properties/342520/california-the-plaza-on-fourth---hillcrest,"3940 Fourth Avenue, San Diego, CA 92103",San Diego County,"Retail, Office, Restaurant","Medical Office, Creative Office, mixed-use",Multiple,"22,000",,TRUE,"3,440"
https://www.crexi.com/lease/properties/980269/california-4529-s-vermont-ave,"4529 S Vermont Ave, Los Angeles, CA 90037",Los Angeles County,"Retail, Office, Restaurant","Creative Office, Traditional Office, Executive Office, Coworking, Medical Office",Multiple,"1,824",,TRUE,"1,800"
https://www.crexi.com/lease/properties/905685/california-2445-2475-north-texas-street,"2445 N Texas St, Fairfield, CA 94533",,"Retail, Office, Restaurant",Retail,Multiple,"18,691",7,TRUE,"10,258"
https://www.crexi.com/lease/properties/579721/california-strong-tie-center,"4249 E Florence Ave, Bell, CA 90201",,"Retail, Office, Restaurant","Traditional Office, Medical Office, Creative Office",Multiple,"7,073",7,TRUE,"1,212"
https://www.crexi.com/lease/properties/865535/california-colony-square,"6917 El Camino Real, Atascadero, CA 93422",,"Retail, Office, Restaurant","Traditional Office, Salon, Deli, Restaurant, Shell",Multiple,"48,960",8,FALSE,"6,833"
https://www.crexi.com/lease/properties/964273/california-lion-plaza,"1710 Tully Rd, San Jose, CA 95122",,"Retail, Office, Restaurant","Traditional Office, Executive Office, Creative Office, Medical Office",Multiple,"26,014",,TRUE,"9,583"
